NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
984,KODEX 차이나2차전지MSCI(합성),8005,상승15,+0.19%,0,672,8400,0.79,6794,N/A,N/A
985,TIGER 화장품,2395,하락45,-1.84%,0,670,27990,0.52,276203,N/A,N/A
986,코오롱인더우,24200,하락50,-0.21%,5000,670,2768,11.92,413,4.08,N/A
987,하나 블룸버그 -2X 천연가스 선물 ETN(H),66970,상승6235,+10.27%,0,670,1000,0.00,928,N/A,N/A
988,일진디스플,1300,하락27,-2.03%,500,670,51514,1.48,93416,-19.12,-16.46
989,삼일씨엔에스,5240,상승10,+0.19%,1000,667,12732,0.36,726,-10.78,-2.28
990,에쓰씨엔지니어링,2125,하락125,-5.56%,500,664,31249,1.93,363640,12.14,15.08
991,인바이오젠,467,0,0.00%,500,658,140884,0.31,0,-0.30,-84.75
992,ACE KRX금현물,12155,상승35,+0.29%,0,656,5400,0.12,17190,N/A,N/A
993,TRUE 나스닥 100 ETN,13105,상승70,+0.54%,0,655,5000,0.00,8,N/A,N/A
994,TIGER 미국S&P500레버리지(합성 H),25470,상승30,+0.12%,0,652,2560,0.00,10044,N/A,N/A
995,성보화학,3250,상승20,+0.62%,500,651,20020,0.67,11645,16.17,2.94
996,갤럭시아에스엠,2355,하락55,-2.28%,500,649,27550,2.84,38712,14.10,13.90
997,TIGER 인도니프티50,9820,0,0.00%,0,648,6600,0.00,22244,N/A,N/A
998,계양전기,2375,하락5,-0.21%,500,647,27223,2.85,15991,-3.29,-15.77
999,핸즈코퍼레이션,2935,상승10,+0.34%,500,642,21863,0.22,16488,-0.88,-34.18
1000,삼정펄프,25650,하락250,-0.97%,5000,641,2500,3.03,502,-66.97,-0.45
1001,HANARO e커머스,11595,하락15,-0.13%,0,638,5500,0.00,300,N/A,N/A
1002,유한양행우,54000,하락100,-0.18%,1000,638,1181,0.00,28,44.15,N/A
1003,국보,598,하락6,-0.99%,500,635,106179,2.25,55236,-1.91,-64.68
1004,모나미,3355,하락50,-1.47%,1000,634,18897,2.77,15240,20.21,3.05
1005,화천기계,2865,상승5,+0.17%,500,630,22000,8.18,21217,17.69,2.80
1006,ARIRANG 미국S&P500(H),17465,상승35,+0.20%,0,629,3600,0.13,2036,N/A,N/A
1007,TIGER 미국필라델피아반도체레버리지(합성),9690,하락55,-0.56%,0,627,6470,0.47,10515,N/A,N/A
1008,GS우,35100,0,0.00%,5000,626,1785,9.35,369,1.55,N/A
1009,대신 S&P 인버스 2X 천연가스 선물 ETN,62350,상승6160,+10.96%,0,624,1000,0.00,321,N/A,N/A
1010,KR모터스,648,하락18,-2.70%,500,623,96138,45.35,420713,-9.39,-19.06
1011,KODEX 차이나H레버리지(H),2190,하락10,-0.45%,0,618,28200,0.08,67355,N/A,N/A
1012,전방,36700,하락150,-0.41%,5000,617,1680,0.39,276,0.91,38.04
1013,TIGER 차이나HSCEI,9630,상승5,+0.05%,0,616,6400,0.68,243,N/A,N/A
1014,미래에셋 전기전자 Core5 ETN,30565,0,0.00%,0,611,2000,0.00,0,N/A,N/A
1015,아센디오,721,상승11,+1.55%,500,610,84591,0.00,49618,-3.45,-43.42
1016,유엔젤,4580,하락55,-1.19%,500,604,13195,6.60,29237,27.43,4.16
1017,동양피스톤,4570,하락90,-1.93%,500,602,13168,1.40,21604,23.08,2.25
1018,KODEX 미국달러선물인버스2X,6680,하락30,-0.45%,0,597,8930,0.01,287050,N/A,N/A
1019,HANARO 글로벌럭셔리S&P(합성),19740,상승55,+0.28%,0,594,3010,0.24,4295,N/A,N/A
1020,KB Wise 분할매매 ETN,9865,0,0.00%,0,592,6000,0.00,0,N/A,N/A
1021,KBSTAR 중기우량회사채,104325,하락20,-0.02%,0,592,567,0.00,3,N/A,N/A
1022,ACE 미국고배당S&P,10745,상승10,+0.09%,0,591,5500,0.03,3761,N/A,N/A
1023,TIMEFOLIO Kstock액티브,9050,상승15,+0.17%,0,588,6500,0.00,90,N/A,N/A
1024,SJM,3765,하락20,-0.53%,500,588,15605,12.28,20732,11.91,2.81
1025,KBSTAR Fn컨택트대표,8510,하락25,-0.29%,0,587,6900,0.00,211,N/A,N/A
1026,영화금속,1098,하락8,-0.72%,500,586,53395,1.24,36700,122.00,0.76
1027,더메디팜,692,하락18,-2.54%,500,586,84705,0.78,1659061,-1.36,-45.33
1028,SG글로벌,1300,하락18,-1.37%,500,585,44964,1.72,20074,-24.07,-2.00
1029,미래에셋증권우,4135,하락5,-0.12%,5000,582,14076,0.49,774,4.98,N/A
1030,IHQ,239,0,0.00%,500,579,242296,3.21,0,-0.40,-114.46
1031,대신 인버스 천연가스 선물 ETN(H),7195,상승315,+4.58%,0,576,8000,0.00,1843,N/A,N/A
1032,대림B&Co,3440,0,0.00%,1000,574,16672,1.55,5733,-71.67,-0.51
1033,TIGER 차이나바이오테크SOLACTIVE,7920,상승50,+0.64%,0,573,7240,0.47,5031,N/A,N/A
1034,MH에탄올,7770,하락160,-2.02%,500,573,7379,0.20,81017,11.49,7.71
1035,TIGER 유로스탁스50(합성 H),15380,상승85,+0.56%,0,569,3700,0.14,2588,N/A,N/A
1036,부국증권우,18920,0,0.00%,5000,568,3000,12.38,302,5.98,N/A
1037,KBSTAR 금융채액티브,101680,하락30,-0.03%,0,567,558,0.00,12,N/A,N/A
1038,QV 코스닥 150 ETN,14160,하락155,-1.08%,0,566,4000,0.00,2,N/A,N/A
1039,TIGER 코스닥150 레버리지,12670,하락400,-3.06%,0,564,4450,4.50,25811,N/A,N/A
1040,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),22540,상승65,+0.29%,0,564,2500,0.00,3,N/A,N/A
1041,KODEX 건설,3735,0,0.00%,0,560,15000,1.34,188379,N/A,N/A
1042,화인베스틸,1870,하락32,-1.68%,500,557,29782,1.69,20231,-21.49,-3.30
1043,우신시스템,3035,하락105,-3.34%,500,556,18314,2.28,67524,20.10,3.11
1044,키움 미국달러선물 ETN,11080,0,0.00%,0,554,5000,0.00,0,N/A,N/A
