NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
299,드림텍,"9,480",하락130,-1.35%,100,"6,394","67,446",24.24,"109,609",9.79,17.24
300,이아이디,"3,760",상승585,+18.43%,200,"6,367","169,322",2.88,"67,580,779",-3.65,-47.66
301,보령,"9,170",상승40,+0.44%,500,"6,299","68,690",6.31,"273,131",15.03,8.47
302,한섬,"25,350",하락300,-1.17%,500,"6,244","24,630",25.58,"3,687",5.08,9.56
303,한화투자증권,"2,905",하락5,-0.17%,"5,000","6,233","214,548",6.79,"111,283",-11.62,-3.20
304,ARIRANG 200,"34,535",하락65,-0.19%,0,"6,216","18,000",0.19,"1,188",N/A,N/A
305,삼성SDI우,"383,500","하락2,500",-0.65%,"5,000","6,205","1,618",20.00,"2,453",13.83,N/A
306,ACE 종합채권(AA-이상)KIS액티브,"96,330",하락135,-0.14%,0,"6,132","6,366",0.00,37,N/A,N/A
307,쏘카,"18,660",하락280,-1.48%,100,"6,113","32,762",0.55,"11,082",-31.31,-9.10
308,세아제강지주,"146,300","하락1,100",-0.75%,"5,000","6,059","4,142",8.73,"1,396",2.18,20.56
309,동원F&B,"31,050",상승50,+0.16%,"1,000","5,991","19,296",6.78,"5,213",6.60,10.80
310,동양생명,"3,710",하락20,-0.54%,"5,000","5,986","161,359",82.30,"13,090",8.08,2.99
311,HD현대에너지솔루션,"53,300",하락300,-0.56%,"5,000","5,970","11,200",11.56,"85,645",9.85,17.27
312,LG생활건강우,"283,500",상승500,+0.18%,"5,000","5,953","2,100",64.60,734,21.23,N/A
313,쿠쿠홈시스,"26,250",하락50,-0.19%,100,"5,890","22,437",5.02,"2,256",5.13,17.66
314,부광약품,"8,270",하락130,-1.55%,500,"5,877","71,063",6.08,"27,790",-236.29,-0.93
315,애경산업,"22,250",하락600,-2.63%,"1,000","5,876","26,410",3.93,"34,004",35.49,4.70
316,일동제약,"21,700",하락500,-2.25%,"1,000","5,816","26,803",6.13,"63,208",-4.04,-82.28
317,이수페타시스,"9,190",0,0.00%,"1,000","5,812","63,246",7.27,"479,592",5.67,58.92
318,현대홈쇼핑,"48,300",0,0.00%,"5,000","5,796","12,000",24.91,"4,025",6.71,4.50
319,HSD엔진,"8,080",상승40,+0.50%,"1,000","5,781","71,544",3.15,"220,010",-12.87,-18.70
320,삼성 레버리지 WTI원유 선물 ETN,"1,420",하락50,-3.40%,0,"5,737","404,000",0.00,"141,172",N/A,N/A
321,ACE 미국S&P500,"13,955",상승30,+0.22%,0,"5,736","41,100",0.73,"136,790",N/A,N/A
322,TIGER KOFR금리액티브(합성),"101,320",상승5,0.00%,0,"5,683","5,609",0.00,285,N/A,N/A
323,지누스,"29,850",하락150,-0.50%,500,"5,642","18,901",13.37,"5,338",18.57,5.32
324,파미셀,"9,360",하락50,-0.53%,500,"5,618","60,017",9.36,"89,332",51.43,15.16
325,영진약품,"3,070",하락40,-1.29%,500,"5,615","182,893",4.73,"203,279",-25.58,-22.55
326,엠씨넥스,"31,200",하락600,-1.89%,500,"5,609","17,978",7.55,"18,198",24.41,7.56
327,유안타증권,"2,800",하락35,-1.23%,"5,000","5,589","199,597",64.69,"33,521",13.21,2.93
328,KBSTAR 단기통안채,"107,575",상승30,+0.03%,0,"5,586","5,193",0.93,"460,545",N/A,N/A
329,한국카본,"12,670",하락30,-0.24%,500,"5,570","43,961",11.60,"380,357",27.48,5.11
