0,1,2,3,4,5,6,7,8,9,10,11
236,TKG휴켐스,"23,700",상승750,+3.27%,"1,000","9,688","40,879",6.71,"536,017",11.84,11.37
237,롯데렌탈,"26,400",하락350,-1.31%,"5,000","9,671","36,634",3.66,"67,951",10.24,7.48
238,하나투어,"58,600",상승600,+1.03%,500,"9,399","16,039",6.75,"134,960",-13.41,-64.01
239,다우기술,"20,700",하락150,-0.72%,500,"9,287","44,867",24.17,"63,819",2.49,17.36
240,코스맥스,"81,000","상승3,800",+4.92%,500,"9,193","11,350",24.99,"162,636",44.09,3.65
241,KODEX 코스닥150레버리지,"12,065",하락35,-0.29%,0,"9,169","76,000",1.85,"12,603,095",N/A,N/A
242,한일시멘트,"13,120",하락160,-1.20%,500,"9,087","69,262",2.53,"76,464",11.53,5.59
243,세방,"46,950",상승150,+0.32%,500,"9,065","19,309",12.06,"87,207",10.24,11.12
244,대웅,"15,470",상승110,+0.72%,500,"8,995","58,142",5.15,"94,528",8.77,13.17
245,롯데리츠,"3,700",상승70,+1.93%,500,"8,990","242,969",9.82,"281,492",63.79,1.25
246,롯데관광개발,"12,140",상승390,+3.32%,500,"8,955","73,763",4.81,"724,340",-3.87,-154.22
247,삼양식품,"118,100",상승300,+0.25%,"5,000","8,896","7,533",9.36,"31,629",11.15,18.92
248,세아베스틸지주,"24,750","하락1,500",-5.71%,"5,000","8,876","35,862",11.67,"407,635",9.76,4.91
249,KODEX 인버스,"4,570",상승15,+0.33%,0,"8,861","193,900",2.43,"21,768,099",N/A,N/A
250,진에어,"16,900",상승660,+4.06%,"1,000","8,822","52,200",2.37,"531,236",-17.85,-35.07
251,KODEX 코스닥150선물인버스,"3,885",상승10,+0.26%,0,"8,800","226,500",1.80,"49,196,094",N/A,N/A
252,제이알글로벌리츠,"4,450",하락5,-0.11%,"1,000","8,783","197,376",9.84,"343,642",46.84,2.04
253,더블유게임즈,"46,850",하락50,-0.11%,500,"8,608","18,375",12.10,"40,530",-6.51,-16.82
254,영원무역홀딩스,"62,900",하락600,-0.94%,500,"8,577","13,636",18.38,"20,853",1.95,23.98
